id,name,rarity,category,str,def,dex,agi,power,avr,ratio,caption,trash
212,白タイツ,1,2,-109,1000,-286,994,1599,1540 ,1.04 ,おへそのあたりまですっぽりのあったか仕様。タイツだから大丈夫だもーん！,0
213,ご当地ストラップ,0,3,-97,576,861,176,1516,1553 ,0.98 ,町おこしの一環として作られた微妙なキャラデザの根付け。,0
214,オライリーの本,0,3,365,287,542,432,1626,1566 ,1.04 ,動物のスケッチが特徴的な技術本。見た目に反してそんなに難しくない。,0
215,金棒,0,1,991,231,213,98,1533,1579 ,0.97 ,ごついトゲトゲのついた鉄の棒。,0
216,空気砲,1,1,209,478,349,762,1798,1592 ,1.13 ,しろこ手作りの一カ所に丸い穴のあいたダンボール箱。バフッと叩いてまっすぐ煙を飛ばせるぞ！,0
217,紺のロングスカート,1,2,279,653,567,453,1952,1606 ,1.22 ,上品なお嬢様スカート。,0
218,NIC,0,3,413,489,514,276,1692,1619 ,1.05 ,蟹さんマークのネットワークカード。,0
219,クリスタルダガー,0,1,893,123,497,352,1865,1632 ,1.14 ,装飾の施された儀礼用の美しい短剣。,0
220,ビーチグラス,0,3,509,615,117,22,1263,1646 ,0.77 ,長い間砂に洗われて角の取れたガラス。,0
221,火炎放射器,1,1,1134,398,221,-19,1734,1659 ,1.05 ,火そのものではなく火のついた液体を投射している。汚物は消毒だー！,0
222,ウイングスター,1,3,189,451,-9,987,1618,1673 ,0.97 ,鳥類の翼を模した構造を持つ乗り物。なんか器用貧乏で弱い。,0
223,パインアメ,0,4,88,888,888,88,1952,1686 ,1.16 ,バリバリ噛み砕いて食べる伝統的なパイン味のアメ。業務用の大入り袋は壮観。,0
224,サーベルちゃん,2,1,1008,973,763,-98,2646,1700 ,1.56 ,刀身の歪曲した剣。　サンドスターの影響で人格を持った。,0
225,しまむらシャツ,0,2,986,674,-876,897,1681,1714 ,0.98 ,よくわからない英語の書いてある女児向けTシャツ。,0
226,おイモ,0,4,467,467,467,467,1868,1727 ,1.08 ,ふぉぉー！今夜はごちそうです！,0
227,ラビリングIII,1,1,-465,554,576,1287,1952,1741 ,1.12 ,ビリビリした輪っかを投げつけて攻撃する武器。麻痺攻撃は基本強い。,0
228,テーブル,2,2,453,2000,342,-452,2343,1755 ,1.34 ,特殊素材でできた非常に重く大きな盾。,0
229,ふわもこブーツ,1,2,450,450,450,450,1800,1769 ,1.02 ,大きなファーがかわいい冬物ブーツ。,0
230,水芸扇,0,1,912,23,762,110,1807,1783 ,1.01 ,女神の加護により念じるとてっぺんから水が溢れ出す扇子。,0
231,ダーツ,0,1,337,198,651,873,2059,1797 ,1.15 ,イカしたフォルムの最新モデル。,0
232,桜餅,0,4,392,662,712,9,1775,1811 ,0.98 ,塩漬けにした桜の葉を巻いてある甘めのおもち。手がべたべたする。,0
233,デスサイズ,1,1,1121,876,123,-4,2116,1825 ,1.16 ,刀身が身長に届くほどの大鎌。,0
234,裁き代行券,2,3,775,234,897,745,2651,1839 ,1.44 ,天使が降りてきて断罪してくれるチケット。11枚綴り。,0
235,血液の霊晶,1,3,922,-615,784,894,1985,1853 ,1.07 ,何者かの血液を霊力によって結晶化した鉱石。,0
236,まろ茶,0,3,613,613,613,34,1873,1867 ,1.00 ,たか子聞いているのかい！まろ茶を持ってきたまえ！,0
237,霊符<エクリテ>,2,3,811,913,453,674,2851,1882 ,1.52 ,霊力で動く式神の召喚符。　秩序の妖精エクリテを召喚する。,0
238,毛玉かんざし,0,3,6,-203,1342,763,1908,1896 ,1.01 ,ポワポワした白い毛玉のついたかんざし。,0
239,プラチナソード,0,1,453,1432,134,6,2025,1910 ,1.06 ,眩い白銀の剣。,0
240,ロマネスコ,0,4,659,0,451,751,1861,1925 ,0.97 ,見事にフラクタル状の構造をした野菜。,0
241,エクリテの令状,2,3,973,39,1008,783,2803,1939 ,1.45 ,日頃の行いが悪いと突き出されるエクリテからのお説教通知書。無視すると次の日に倍の枚数届く。,0
242,サポートビットΩ,2,2,-1008,1764,-674,2541,2623,1954 ,1.34 ,制御機構を失い、しろことくろこの霊力を食い尽くしてしまうサポートビットの廃棄試作品。,0
243,虹の欠片,0,3,500,480,400,480,1860,1968 ,0.94 ,虹の輝きを閉じ込めた破石。,0
244,魔鏡アフタヌス,1,3,0,1564,543,135,2242,1983 ,1.13 ,数多の邪悪をその身に映し、その身に怨念を籠もらせた魔鏡。,0
245,いちごパフェ,0,4,863,123,567,784,2337,1998 ,1.17 ,周りがごっついアイテム名になってきたのにシリアスと無縁な回復アイテム。店売りの薬より料理のが追加バフかかって強いんだもん…！実はしろこ手作り。,0
246,バナナクレープ,0,4,784,863,123,567,2337,2012 ,1.16 ,フルーツパーラーしろこの定番メニュー第二弾。固めのカスタードクリームが決め手。,0
247,ぶどうゼリー,0,4,567,784,863,123,2337,2027 ,1.15 ,フルーツパーラーしろこの最強メニュー第三弾。　皮ごと食べられるぶどうを上に乗せて出来上がり。,0
248,メロンケーキ,0,4,123,567,784,863,2337,2042 ,1.14 ,フルーツパーラーしろこの超絶ウルトラ激烈メニュー第四弾。甘みを抑えた生クリームでメロンの上品な甘さを引き出す自信作。,0
249,パティシエソード,3,1,361,452,1432,1003,3248,2057 ,1.58 ,実は料理スキルガン振りだったしろこの実力を最大限活かせる短めの片手剣。,0
250,羅針盤,0,3,176,1003,76,661,1916,2072 ,0.92 ,ルーレットじゃねーっつってんだろ！回すな！！！,0
251,ポイニードール,1,3,199,285,837,673,1994,2086 ,0.96 ,自ら砕けることで所持者の死を否定し、一度だけ命をつなぎ止める呪いのアイテム。倉庫送るの忘れてたアアア！もったいねえ！,0
252,トリプル赤こうら,1,1,1007,673,0,308,1988,2101 ,0.95 ,滑らせると前方の動体を追尾する習性のある不思議な構造体3つセット。,0
253,ビターくろこγ,2,2,1367,973,146,342,2828,2116 ,1.34 ,くろこ用に仕立てられた人気アニメのコスプレ衣装。製菓店で実力をつけたライバルキャラ仕様。,0
254,スイートしろこα,2,2,467,554,1008,785,2814,2132 ,1.32 ,しろこ用に仕立てられた人気アニメのコスプレ衣装。パティシエを目指す主人公がモデル。,0
255,X68000,0,3,100,1000,100,1000,2200,2147 ,1.02 ,古のポピュラーな計算機。えっちなゲームがたくさん動く。,0
256,レンズ豆,0,4,76,881,1000,8,1965,2162 ,0.91 ,レンズみたいな形の、レンズの語源となった豆。知名度が逆転したせいでややこしい。,0
257,星弓サジタリウス,3,1,1263,-6,1875,664,3796,2177 ,1.74 ,伝説の射手からかっぱらってきた巨大な弓。周囲の霊力を固体化した矢を打ち出すので元気がある限り無限に連射可能。,0
258,霊符<カリウス>,2,3,981,769,234,1005,2989,2192 ,1.36 ,霊力で動く式神の召喚符。活毒の妖精カリウスを召喚する。,0
259,トルネードポテト,0,4,581,236,884,452,2153,2208 ,0.98 ,一個のおイモを螺旋状にカットして揚げたおやつ。ふぉぉー！,0
260,霊雷針,0,1,1135,136,555,343,2169,2223 ,0.98 ,畳針に霊力を込めて作った投擲武器。,0
261,カイザーマント,1,2,3,1556,513,431,2503,2238 ,1.12 ,はためかせた時の音にこだわったこだわりマント。中二病ごっこにどうぞ。,0
262,ちょんまげ,0,2,199,999,182,753,2133,2254 ,0.95 ,忍者でござる！忍者で……拙者間違えた！　武士でござる！武士！！,0
263,ゴムチキン,0,3,1,442,773,663,1879,2269 ,0.83 ,おなかを押して凹ませるとプァーーーーーーーッと鳴くおもちゃ。並列実行するとたのしい。,0
264,しましまニーソ,2,2,665,896,276,1254,3091,2285 ,1.35 ,しま太めで脚のかたちが強調されるニーソ。ファンタジー世界の装備かと思ったら案外女児向けにあったりする。夢か。,0
265,スシ,0,4,384,-4,1542,234,2156,2301 ,0.94 ,お寿司だー！！！,0
266,リフレクトメイル,1,2,1009,1665,264,-563,2375,2316 ,1.03 ,光を反射する鎧。　…そう、反射するのは光だけ…ただピカピカなだけの鎧だ……,0
267,銀の大鐘,1,1,1345,779,13,342,2479,2332 ,1.06 ,巨大な銀製のベル。殴ってよし叩いて良し。りんごんりんごーん！,0
268,ディフューザー,0,3,376,653,807,367,2203,2348 ,0.94 ,湯気が出る機械。,0
269,菊一文字,0,1,1008,19,784,458,2269,2363 ,0.96 ,どこかで聞いたことある系の日本刀。実は一品ものというわけではない。,0
270,霊符<ピルス>,2,3,963,332,1009,888,3192,2379 ,1.34 ,霊力で動く式神の召喚符。　激昂の妖精ピルスを召喚する。,0
271,洩矢の鉄の輪,3,1,775,1263,993,663,3694,2395 ,1.54 ,取り付けられた鉄の部品をシャーーーーっと回転させて遊ぶおもちゃ。,0
272,ヘッドドレス,1,2,447,-5,995,1089,2526,2411 ,1.05 ,メイドさんの着けているヒラヒラ。ケモ耳と競合する。,0
273,封じられし熾天使,1,3,886,1345,6,452,2689,2427 ,1.11 ,封印を解くことができればドバーッて光が溢れ出して敵を殲滅してくれる。,0
274,民族衣装,0,2,19,228,665,1423,2335,2443 ,0.96 ,遠い民族の露出の多い儀礼用衣装。着る前におなかに模様を描く。,0
275,ラングドシャ,0,4,663,452,512,663,2290,2459 ,0.93 ,クッキーに似た焼き菓子。食感がﾗﾝｸﾞﾄﾞｼｬｯとしている。,0
276,萌芽の剣,1,1,563,-136,1864,764,3055,2475 ,1.23 ,生命の象徴の剣。地面に刺すと作物が良く育つようになる。,0
277,収奪の剣,1,1,1664,764,354,138,2920,2492 ,1.17 ,死の象徴の剣。地面に刺すとその土地の水が腐る。,0
278,ハイパートンカチ,0,1,1876,-600,-30,887,2133,2508 ,0.85 ,手に持つとなぜか縦にぶんぶん振り回したくなる危険なトンカチ。たまに頭が吹っ飛ぶのでさらに危ない。,0
279,クリームソーダ,0,4,-973,1321,1008,1008,2364,2524 ,0.94 ,メロンソーダの上に丸いアイスを載せた飲み物。,0
280,きぐるみパジャマ,1,2,997,772,198,785,2752,2540 ,1.08 ,電気ねずみのきぐるみパジャマ。着てうつらうつらすると揺れに合わせて耳がはねてかわいい。,0
281,ハルバード,0,1,1444,875,98,23,2440,2557 ,0.95 ,長い両手槍。頭が重いので速度が乗せやすい。,0
282,魔女帽,1,2,-342,675,974,1345,2652,2573 ,1.03 ,つばが大きく先の尖った三角帽子。多少よれている。,0
283,マグロディスク,0,4,513,1043,453,531,2540,2589 ,0.98 ,マグロミンチをフリスビー状に整形して凍らせたもの。,0
284,おふとん,0,2,1554,1553,-55,-23,3029,2606 ,1.16 ,もこもこ被る防具。圧倒的な快適性だ…!,0
285,ピリカラーメン,2,4,1008,276,876,1100,3260,2623 ,1.24 ,ピリカちゃん迷走の果てに塩ラーメンを極める。チャーシューは鶏肉派らしい。,0
286,エクリテはんこ,2,3,119,1435,895,992,3441,2639 ,1.30 ,エクリテにとっての最高評価である、手彫りの「たいへんよくできました」はんこ。,0
287,スケスケローブ,1,2,753,1276,15,777,2821,2656 ,1.06 ,光を通す素材のローブ。上から羽織って立体感を出すためのもの。,0
288,霊封ブレスレット,0,3,666,666,666,666,2664,2672 ,1.00 ,霊力を抑えるブレスレット。ここからは肉弾戦だ…!,0
289,霊符<チョウゼン>,2,3,1734,813,564,563,3674,2689 ,1.37 ,霊力で動く式神の召喚符。ヨガの妖精チョウゼンを召喚する。,0
290,業,3,1,1664,213,1998,875,4750,2706 ,1.76 ,罪人の業を抽出し、概念を剣とした魔剣。,0
291,ピリミラブレイド,2,1,1250,659,875,675,3459,2723 ,1.27 ,ピリミラさんの打った長剣。お姉ちゃんらしい素直な作りで使いやすい。,0
292,くまのり,0,3,-764,-664,1996,1654,2222,2740 ,0.81 ,キーボードのHJKLキーを眺めてごらん…,0
293,旧型スクール水着,2,2,896,1119,7,1346,3368,2757 ,1.22 ,おなかの下のあたりに水を抜く機構を持った、厚手の水着。,0
294,苦花,0,3,1000,874,1000,-443,2431,2773 ,0.88 ,所持者が倒れるまで命の一部を代償に妖精を産み出す機関。,0
295,ピリカライトニング,2,1,463,568,2008,674,3713,2790 ,1.33 ,ピリカちゃん新作のSFめいた光剣。振るときの効果音にこだわり抜いた映画ファン泣かせの逸品。,0
296,霊蔵庫,0,3,465,897,345,983,2690,2808 ,0.96 ,電力なしにひんやりできる不思議な櫃。ふしぎー！,0
297,サポビスーツ,2,2,-1009,3423,-1764,2998,3648,2825 ,1.29 ,サポートビット技術を転用して衣服の防御力を高めてみました！電源をとっさに切れないのでため霊力切れ間際で吸い尽くされて危ない。,0
